icd_code,version,freq
0Y6P0Z3,I10PR,2.915669507695035e-5
0YQQ0ZZ,I10PR,2.1575954356943257e-5
0DBL8ZX,I10PR,1.749401704617021e-5
S00.03XA,I10DX,0.12477395319204315
S01.01XA,I10DX,0.11687032731383552
S27.0XXA,I10DX,0.09587492497479735
S00.81XA,I10DX,0.08825294710650373
S02.2XXA,I10DX,0.0661270679276728
S02.0XXA,I10DX,0.056430606786357355
T14.8,I10DX,0.05567112835962372
S06.0X1A,I10DX,0.05019744496695006
S80.211A,I10DX,0.04473735837475502
S30.1XXA,I10DX,0.040994353443001244
S02.19XA,I10DX,0.029592465041654768
S00.12XA,I10DX,0.021550928758592693
S32.028A,I10DX,0.02138582475278103
S01.112A,I10DX,0.021012883939653514
T07,I10DX,0.017578720618770964
S01.21XA,I10DX,0.016481264580140514
S06.6X1A,I10DX,0.016081130166055783
S36.114A,I10DX,0.013765789284555782
S09.93XA,I10DX,0.013336518869445464
S02.10XA,I10DX,0.01311314286158263
S61.411A,I10DX,0.010354934764493704
S81.012A,I10DX,0.009346829129008385
S06.359A,I10DX,0.008917558713898066
S12.190A,I10DX,0.005415411390622481
S72.012A,I10DX,0.004704492965598152
S32.049A,I10DX,0.00467147216443582
S72.091A,I10DX,0.0036536545286086396
S20.411A,I10DX,0.0031641697113787737
S60.212A,I10DX,0.0027348992962684554
S91.311A,I10DX,0.0025620256901833045
S42.211A,I10DX,0.0024338272856707205
S82.872A,I10DX,0.002428000085465603
S36.531A,I10DX,0.002311456081363254
S06.311A,I10DX,0.0020026144704920292
S31.31XA,I10DX,0.0017578720618770965
S31.010A,I10DX,0.0017462176614668617
S41.102A,I10DX,0.0014645696515528518
S20.221A,I10DX,0.0013577376477923652
S41.032A,I10DX,9.98393635143456e-4
D72.829,I10DX,7.847296276224829e-4
S22.23XA,I10DX,7.478240263234057e-4
S55.011A,I10DX,6.740128237252514e-4
S72.421A,I10DX,6.526464229731541e-4
T20.37XA,I10DX,3.845952135377515e-4
F10.239,I10DX,3.185536112130871e-4
S02.411B,I10DX,2.2337600786283547e-4
S93.122A,I10DX,1.9035520670050327e-4
S32.481A,I10DX,1.2431360437583887e-4
S12.151A,I10DX,4.079040143582213e-5
E63.9,I10DX,3.884800136744965e-6
88.38,I09PR,0.1603083067864971
87.03,I09PR,0.15036325670834758
88.01,I09PR,0.08525195761963898
87.41,I09PR,0.07890436116260498
87.44,I09PR,0.05114214035433189
86.59,I09PR,0.047391881414603175
38.93,I09PR,0.03548012454515715
88.26,I09PR,0.03401241710840814
99.04,I09PR,0.0296152940831875
96.04,I09PR,0.02816629029975604
89.52,I09PR,0.027741752659359537
57.94,I09PR,0.025305337140409032
88.27,I09PR,0.023133243061738643
79.36,I09PR,0.019324049969103682
88.79,I09PR,0.017726828555608608
34.04,I09PR,0.017101138417268624
88.72,I09PR,0.015230067287275058
88.93,I09PR,0.014948100891034986
96.71,I09PR,0.013652255325335934
96.59,I09PR,0.013387228086817419
93.52,I09PR,0.011773773313839187
88.21,I09PR,0.011563445438796529
88.28,I09PR,0.011375703107382614
88.22,I09PR,0.011151965065810392
99.07,I09PR,0.009820476689072231
79.31,I09PR,0.005575806083345597
88.39,I09PR,0.005413825387633215
87.04,I09PR,0.005246198306013648
78.17,I09PR,0.005139269872896324
43.11,I09PR,0.004333248284645606
86.69,I09PR,0.0036740327299817094
03.53,I09PR,0.003422768557111958
01.24,I09PR,0.0031323325820111084
01.31,I09PR,0.0025934556269941005
33.23,I09PR,0.002541932355591034
38.7,I09PR,0.0024568836678640535
79.05,I09PR,0.0024127712779641675
88.94,I09PR,0.0018675421388015757
39.31,I09PR,0.0017274411884795377
79.34,I09PR,0.0016078083870710467
93.01,I09PR,0.0015838112469655087
54.21,I09PR,8.134324697538988e-4
80.16,I09PR,7.672026851388182e-4
79.63,I09PR,5.900473273008758e-4
42.23,I09PR,3.056106372264105e-4
24.7,I09PR,2.9078887422004883e-4
08.51,I09PR,2.678504314721081e-4
46.32,I09PR,1.6339229218917793e-4
21.89,I09PR,1.2139729700448641e-4
88.96,I09PR,7.975520093899397e-5
920,I09DX,0.13171416062330077
873.0,I09DX,0.09196811918205493
805.4,I09DX,0.07197520539888601
860.0,I09DX,0.065863641623531
873.42,I09DX,0.052780385733560635
802.0,I09DX,0.0495259750407696
852.20,I09DX,0.048566830540401576
850.5,I09DX,0.04818985334871464
820.21,I09DX,0.04340128864165336
850.11,I09DX,0.03941797584721449
852.00,I09DX,0.0345387457396209
808.0,I09DX,0.03136664968678683
959.01,I09DX,0.030616274200802387
850.0,I09DX,0.022634140056570436
852.21,I09DX,0.02028876930069538
921.1,I09DX,0.018174833909336986
805.07,I09DX,0.01713218180321552
890.0,I09DX,0.014419377582025345
924.8,I09DX,0.013294410835946922
883.0,I09DX,0.013018835736960586
824.0,I09DX,0.01162067982348878
852.02,I09DX,0.011285456434678562
873.20,I09DX,0.010605465930686302
873.44,I09DX,0.010502870872189223
401.9,I09DX,0.01017003341497196
852.26,I09DX,0.010063859459085448
807.06,I09DX,0.009562813824564836
825.0,I09DX,0.009460218766067757
864.02,I09DX,0.009326606596862262
824.2,I09DX,0.00870865031428684
847.2,I09DX,0.00773876912175051
805.04,I09DX,0.005173892659323565
861.22,I09DX,0.004967509576532931
959.11,I09DX,0.004490323257941872
811.03,I09DX,0.0032925855982783117
815.03,I09DX,0.002233231971006159
873.60,I09DX,0.00199941067489654
813.83,I09DX,0.0019564639062233445
942.24,I09DX,0.0016582224571039324
866.03,I09DX,0.001179843172716395
